【央视高清】,#genre#
CCTV-1 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV-1 高清,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV-1 高清,http://39.135.134.67/PLTV/88888888/224/3221225783/1.m3u8
CCTV-1 高清,http://l6.weihai.tv:8081/hls/rSwuMs738r.m3u8
CCTV-2 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8
CCTV-2 高清,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV-2 高清,http://39.135.134.67/PLTV/88888888/224/3221225599/1.m3u8
CCTV-3 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8
CCTV-3 高清,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV-3 高清,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-4 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8
CCTV-4 高清,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV-4 高清,http://39.135.134.67/PLTV/88888888/224/3221225797/1.m3u8
CCTV-5 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8
CCTV-5 高清,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV-6 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8
CCTV-6 高清,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV-7 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8
CCTV-7 高清,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV-8 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8
CCTV-8 高清,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV-9 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8
CCTV-9 高清,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV-10 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv10HD/__op/default/__f/index.m3u8
CCTV-10 高清,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV-11 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv11HD/__op/default/__f/index.m3u8
CCTV-11 高清,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV-12 高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cctv12HD/__op/default/__f/index.m3u8
CCTV-12 高清,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
